指标,2022年,2021年,2020年,2019年,2018年
国民总收入(亿元),1197250.4,1141230.8,1005451.3,983751.2,915243.5
国内生产总值(亿元),1210207.2,1149237.0,1013567.0,986515.2,919281.1
